item_n,batch,depth,summary
220,0014,full,"xmodmap should be a recommended dependency; without it, mapping by key name (e.g. ""a"") fails because xmodmap -pke provides the key name lookup. Maintainer agreed to document it; AUR package added it as optdepends."
221,0014,full,Wayland: modifier key not released after combination macro (Control_L + combo). Root: modifier injected via forwarded device can't be released by mapped device. Fix in key-mapper-devices branch: global persistent uinputs so modifier release happens on same device. Released in v1.4.0 architecture. key_up() macro also helps.
222,0014,full,"Logitech G300s button G9 shows as ""unknown"" in GUI (no human-readable name in xmodmap). Button works but displays as keycode number. PR potential: show keycode number (e.g. ""280"") instead of ""unknown""."
223,0014,full,Jabra headphone media buttons not detected in key-mapper UI. Buttons produce a down event immediately followed by a release event (very short press). The reader may miss them because of timing. Maintainer noted this needs investigation in the reader.
224,0014,full,Get the currently active injected profile via key-mapper-control. Companion to #203 for auto-switching scripts. Design note added to daemon.
225,0014,full,Fedora 34→35 upgrade deleted pip-installed key-mapper Python files (pip files not tracked by dnf). Reinstall resolves; autoload may still not work on Fedora. Another Fedora install cluster datapoint.
226,0014,full,Logitech G600 user getting confusing feedback when applying preset. No maintainer response; appears to be UI confusion about the apply workflow.
229,0014,full,Wayland: modifier key in combination not released after macro. Same root as #221. Maintainer confirmed fix in key-mapper-devices branch. release_all() macro proposed as a cleaner solution; key_up() also helps.
231,0014,full,Python 3.10 upgrade breaks key-mapper: package installed into python3.8 path not in python3.10 sys.path. Multiple reporters. Root: python version mismatch between pip/setup.py and system default. Fix: rebuild with python3.10 explicitly. Arch: yay -Scc clears AUR cache needed for clean rebuild.
234,0014,full,"Run arbitrary scripts or applications from a key press. Maintainer noted security concern: service runs as root, executing user scripts would be a privilege escalation vector. Needs sandboxing design. Also: preset switching via key mentioned as related feature."
238,0015,full,Combination not working in MATLAB (AltGr+wasd). Modifier leak: AltGr stays held. Fixed by mapping Ctrl_L to disable (following combinations docs). Self-resolved after docs check.
240,0015,full,"Different actions on press and release of the same button (e.g. mute on press, unmute on release). Already possible via e(EV_KEY, KEY_X, 1) for press and e(EV_KEY, KEY_X, 0) for release, or key_down/key_up macros."
241,0015,full,Alt+Left mapped to mouse button 6 not working as expected. Long debug session; user has difficulty with evtest. Maintainer asked for evtest output from both the original device and key-mapper device. Not fully resolved in the thread.
242,0015,full,Water-damaged keyboard: F11+Shift maps to repeated characters. Root: F11 is forwarded before the combination triggers; must also map F11 to disable to suppress it. Combination behavior: base key is always forwarded unless explicitly mapped to disable.
243,0015,full,Home row mods (if_tap) require waiting time before shift activates. Alternative: if_single with timeout works slightly differently. Complex macro composition needed (nested if_single); maintainer explained behavior and upcoming if_held/if_released ideas.
246,0015,full,"Test infrastructure improvement issue: toolbox module, cleanup helpers, timing-tolerant tests, integration vs unit split. jonasBoss proposed improvements. Long ongoing discussion about test architecture."
247,0015,full,Renaming a preset in the GUI does not update the autoload entry in config.json. The old preset name stays in autoload; injection therefore silently uses the old name. Maintainer confirmed and fixed.
248,0015,full,"Announcement: project renamed from ""key-mapper"" to ""input-remapper"" as of 1.3.0. AUR package migration note. Python package renamed to input_remapper. GitHub repo redirect active."
252,0015,full,Global profiles and quick profile switching across multiple devices. Per-app switching reaffirmed as impossible on Wayland without a separate tray tool using CLI. Community suggested a systray tool as a separate project.
253,0015,full,Test failures in main branch: GUI tests fail when run from PyCharm because the test window doesn't get focus in some DE configurations. Fixed by adding PyCharm run configuration for tests.
256,0015,full,Could not open uinput device in write mode (input-remapper 1.x). Maintainer asked for lsmod/uinput status; no follow-up. Redirected to #29.
258,0015,full,Alphanumeric keys stopped working without KEY_ prefix after migrating config to new install. Root: xmodmap.json was empty (copied from previous system where it may have been populated differently). input-remapper-gtk populates xmodmap.json on startup; service alone cannot. Fix: run the GTK app to regenerate xmodmap.json.
261,0016,full,Ship locale-specific keycode-to-symbol mapping files for systems without xmodmap (especially Wayland). Maintainer noted maintaining per-locale files would be complex; each DE has its own Wayland layout approach.
262,0016,full,Reuse existing forwarded uinput on preset switch instead of regrabbing device. Would make preset switching faster. Related to global persistent uinputs (#205) design work.
266,0016,full,Run unit tests via CI pipeline. Contributor offered to set up GitHub Actions. Eventually implemented.
268,0016,full,"Cannot find BTN_RIGHT as a mapping target after upgrading to 1.3.0. Root: 1.3.0 introduced predefined device types (keyboard/mouse/gamepad) and mouse-button outputs are only shown when ""mouse"" is selected as the output device. UI change not documented; user confusion."
269,0016,full,python3-devel not mentioned in pip install instructions for Fedora. Maintainer added the note to the README.
270,0016,full,BTN_BACK and BTN_FORWARD do nothing for browser navigation. Root: naming in input-event-codes.h is confusing; BTN_SIDE and BTN_EXTRA are what browsers actually use for back/forward. Docs gap: add a note that BTN_BACK/FORWARD may not work as expected.
274,0016,full,"Logitech MX Anywhere 2 Bluetooth: autoload doesn't work after reboot on Ubuntu. Multiple reporters. Root: udev rule fires with empty DEVNAME for Bluetooth devices; service doesn't find device at the provided path. Workaround: delayed autostart via .desktop sleep. Maintainer noted TODOs: autoload without DEVNAME, retry device path lookup."
276,0016,full,"Razer Tartarus Pro: injection crashes with ""tuple has no attribute press_trigger"" when rapidly pressing mapped keys. Race condition in keycode_mapper: macro object was replaced by a tuple during press handling. Fixed in PR #277."
278,0016,full,App crashed with keyword argument error after checking out main branch on Ubuntu 21.10. Root: jonasBoss added `slots=True` to a dataclass which requires Python ≥3.10; Ubuntu ships 3.8. Fixed by removing the slots argument.
281,0016,full,"pyenv Python installation: service cannot import input-remapper because pyenv paths are user-local, inaccessible by root systemd service. Root: pyenv is incompatible with root systemd services. Workaround: install the .deb from releases."
282,0016,full,Scroll events from mapped keys blocked by libinput when mouse cursor is moving simultaneously. Works in Firefox (GTK) but not in GNOME Shell apps (Qt/non-GTK). Root: libinput likely filters scroll events paired with pointer movement as accidental. Workaround: xdotool scroll or wrapping the mapping via xdotool.
283,0016,full,"Reminder to add pydantic to AUR, README, and deb dependencies after its addition to the codebase."
