item_n,facet,value
225,layer,install
225,outcome,workaround
225,pr_potential,unknown
226,cause,doc-gap
226,conf,inferred
226,kind,question
226,outcome,unknown
226,pr_potential,docs-fix
229,cause,macro-logic
229,cause,wayland-issue
229,component,injector
229,conf,stated
229,de_os,wayland
229,impact,partial-remap
229,kind,bug
229,layer,injector
229,layer,macro
229,outcome,fixed
229,pr_potential,unknown
229,symptom,key-stuck
231,cause,distro-compat
231,cause,python-version
231,component,ci-build
231,conf,stated
231,de_os,ubuntu
231,impact,install-blocked
231,kind,bug
231,layer,install
231,outcome,workaround
231,pr_potential,unknown
231,symptom,install-fail
234,cause,missing-feature
234,component,macros
234,conf,stated
234,kind,feature-request
234,layer,macro
234,outcome,open
234,pr_potential,needs-design
238,cause,doc-gap
238,conf,stated
238,kind,question
238,layer,mapping
238,outcome,docs-answer
238,pr_potential,docs-fix
240,cause,missing-feature
240,component,macros
240,conf,stated
240,kind,feature-request
240,layer,macro
240,outcome,fixed
240,pr_potential,unknown
241,cause,de-compat
241,cause,x11-issue
241,component,macros
241,conf,inferred
241,de_os,ubuntu
241,impact,partial-remap
241,kind,bug
241,layer,macro
241,outcome,open
241,pr_potential,unknown
241,symptom,mapping-not-working
242,cause,doc-gap
242,conf,stated
242,kind,question
242,layer,combination
242,outcome,docs-answer
242,pr_potential,docs-fix
243,cause,doc-gap
243,conf,stated
243,kind,question
243,layer,macro
243,outcome,docs-answer
243,pr_potential,docs-fix
246,cause,missing-feature
246,component,ci-build
246,conf,inferred
246,kind,meta
246,layer,config
246,outcome,open
246,pr_potential,code-fix
247,cause,ui-logic
247,component,presets
247,conf,stated
247,impact,broken-remap
247,kind,bug
247,layer,config
247,outcome,fixed
247,pr_potential,unknown
248,cause,missing-feature
248,conf,stated
248,kind,meta
248,outcome,fixed
248,pr_potential,unknown
252,cause,missing-feature
252,cause,wayland-issue
252,conf,stated
252,kind,feature-request
252,layer,mapping
252,outcome,open
252,pr_potential,needs-design
253,cause,de-compat
253,conf,stated
253,kind,meta
253,layer,config
253,outcome,fixed
253,pr_potential,unknown
256,cause,permission
256,component,injector
256,conf,inferred
256,impact,install-blocked
256,kind,bug
256,layer,permissions
256,outcome,unknown
256,pr_potential,docs-fix
256,symptom,permission-error
258,cause,config-error
258,cause,x11-issue
258,component,keycodes
258,conf,stated
258,impact,broken-remap
258,kind,bug
258,layer,mapping
258,outcome,fixed
258,pr_potential,unknown
258,symptom,mapping-not-working
261,cause,missing-feature
261,cause,wayland-issue
261,component,keycodes
261,conf,stated
261,kind,feature-request
261,layer,mapping
261,outcome,open
261,pr_potential,needs-design
262,cause,missing-feature
262,component,injector
262,conf,stated
262,kind,feature-request
262,layer,daemon
262,layer,injector
262,outcome,open
262,pr_potential,needs-design
266,cause,missing-feature
266,component,ci-build
266,conf,stated
266,kind,meta
266,outcome,fixed
266,pr_potential,unknown
268,cause,doc-gap
268,conf,stated
268,kind,question
268,layer,gui
268,outcome,docs-answer
268,pr_potential,docs-fix
269,cause,distro-compat
269,cause,doc-gap
269,conf,stated
269,de_os,fedora
269,kind,feature-request
269,layer,install
269,outcome,fixed
269,pr_potential,docs-fix
270,cause,doc-gap
270,cause,symbol-mapping
270,conf,stated
270,kind,question
270,layer,mapping
270,outcome,docs-answer
270,pr_potential,docs-fix
274,cause,autoload-failure
274,cause,race-condition
274,component,service
274,conf,stated
274,de_os,gnome
274,de_os,ubuntu
274,device_type,mouse
274,impact,broken-remap
274,kind,bug
274,layer,daemon
274,layer,device
274,outcome,workaround
274,pr_potential,needs-design
274,symptom,mapping-not-working
276,cause,race-condition
276,component,macros
276,conf,stated
276,device_type,gamepad
276,impact,broken-remap
276,kind,bug
276,layer,injector
276,layer,macro
276,outcome,fixed
276,pr_potential,unknown
276,symptom,mapping-not-working
278,cause,python-version
278,component,gui-app
278,conf,stated
278,de_os,ubuntu
278,impact,install-blocked
278,kind,bug
278,layer,install
278,outcome,fixed
278,pr_potential,unknown
278,symptom,install-fail
281,cause,distro-compat
281,cause,python-version
281,component,service
281,conf,stated
281,de_os,ubuntu
281,impact,install-blocked
281,kind,bug
281,layer,install
281,outcome,workaround
281,pr_potential,unknown
281,symptom,install-fail
282,cause,de-compat
282,cause,evdev-api
282,component,injector
282,conf,inferred
282,de_os,gnome
282,impact,partial-remap
282,kind,bug
282,layer,injector
282,outcome,workaround
282,pr_potential,upstream-dep
282,symptom,mapping-not-working
283,cause,distro-compat
283,component,ci-build
283,conf,inferred
283,kind,meta
283,outcome,fixed
283,pr_potential,unknown
